n	∆_{(n)}
 	p_{n+1} - p_n
2858	16
2859	2
2860	4
2861	14
2862	4
2863	8
2864	12
2865	12
2866	30
2867	16
2868	8
2869	4
2870	2
2871	6
2872	22
2873	12
2874	8
2875	10
2876	6
2877	6
2878	6
2879	14
2880	6
2881	18
2882	10
2883	12
2884	2
2885	10
2886	2
2887	4
2888	26
2889	4
2890	12
2891	8
2892	4
2893	18
2894	8
2895	10
2896	14
2897	16
2898	6
2899	6
2900	8
2901	10
2902	6
2903	8
2904	6
2905	12
2906	10
2907	20
2908	10
2909	8
2910	4
2911	12
2912	26
2913	18
2914	4
2915	12
2916	18
2917	6
2918	30
2919	6
2920	8
2921	6
2922	22
2923	12
2924	2
2925	4
2926	6
2927	6
2928	2
2929	10
2930	2
2931	4
2932	6
2933	6
2934	2
2935	6
2936	22
2937	18
2938	6
2939	18
2940	12
2941	8
2942	12
2943	6
2944	10
2945	12
2946	2
2947	16
2948	2
2949	10
2950	2
2951	10
2952	18
2953	6
2954	20
2955	4
2956	2
2957	6
2958	22
